SensorID,Anomalies
[1:0],"[(Timestamp('2023-07-11 06:42:24.530000'), Timestamp('2023-07-11 06:43:20.530000'))]"
[1:1],"[(Timestamp('2023-07-11 01:20:10.650000'), Timestamp('2023-07-11 01:21:05.650000'))]"
[1:2],[]
[1:3],"[(Timestamp('2023-07-11 02:41:00.440000'), Timestamp('2023-07-11 02:41:03.440000')), (Timestamp('2023-07-11 05:40:09.510000'), Timestamp('2023-07-11 05:40:12.510000')), (Timestamp('2023-07-11 18:52:03.810000'), Timestamp('2023-07-11 18:52:07.810000')), (Timestamp('2023-07-11 18:58:37.830000'), Timestamp('2023-07-11 18:58:40.830000')), (Timestamp('2023-07-11 19:28:06.830000'), Timestamp('2023-07-11 19:28:09.830000')), (Timestamp('2023-07-11 21:32:37.880000'), Timestamp('2023-07-11 21:32:41.880000'))]"
[1:4],"[(Timestamp('2023-07-11 01:58:13.920000'), Timestamp('2023-07-11 01:58:13.980000'))]"
[1:5],"[(Timestamp('2023-07-11 01:56:09.220000'), Timestamp('2023-07-11 01:56:09.260000'))]"
[1:6],[]
[1:7],"[(Timestamp('2023-07-11 21:44:38.880000'), Timestamp('2023-07-11 21:45:34.880000'))]"
[1:8],"[(Timestamp('2023-07-11 21:45:35.880000'), Timestamp('2023-07-11 21:46:30.880000'))]"
[1:9],[]
[1:10],[]
[1:11],[]
[1:12],[]
[1:13],[]
[1:14],[]
[1:15],[]
[1:16],[]
[1:17],[]
[1:18],[]
[1:19],"[(Timestamp('2023-07-11 04:04:31.480000'), Timestamp('2023-07-11 04:04:38.480000')), (Timestamp('2023-07-11 09:08:07.600000'), Timestamp('2023-07-11 09:08:14.600000')), (Timestamp('2023-07-11 13:47:07.690000'), Timestamp('2023-07-11 13:47:14.690000')), (Timestamp('2023-07-11 13:59:54.720000'), Timestamp('2023-07-11 14:00:01.720000')), (Timestamp('2023-07-11 15:42:36.740000'), Timestamp('2023-07-11 15:42:44.740000')), (Timestamp('2023-07-11 22:19:44.900000'), Timestamp('2023-07-11 22:19:51.900000')), (Timestamp('2023-07-11 23:02:29.930000'), Timestamp('2023-07-11 23:02:36.930000'))]"
[1:20],[]
[1:21],[]
